model,dataset,target,horizon,seed,MAE,RMSE,sMAPE,wMAPE,MSE,train_time_s,inference_ms,n_params,peak_gpu_mb
patchtst,ecl,aggregate_load,24,43,31535.041322471992,47985.79889457976,3.828126433267288,3.702017848556184,2302636895.5510526,113.94544230100018,61.867001949985934,168280,608.609375
patchtst,ecl,aggregate_load,24,44,31660.172206697054,46992.28799158673,3.991903265956082,3.7167074366264776,2208275130.6842265,171.67725953199988,60.212180650000846,168280,608.609375
patchtst,ecl,aggregate_load,24,45,29932.74852692233,46183.26278747741,3.5629086404395878,3.5139186332394474,2132893761.6971955,133.31234136600006,60.43517619998511,168280,608.609375
patchtst,ecl,aggregate_load,24,46,30991.227301389677,45730.55586152343,3.8949050329899775,3.638177462499444,2091283739.4039156,116.59213050800008,64.58425369999077,168280,608.609375
sarima,ecl,aggregate_load,24,42,263913.9106413977,316245.25563819986,31.732772395304483,30.124832676044544,100011061713.6704,109.77302576298824,2.9924612026661634,0,0.0
seasonal_naive,ecl,aggregate_load,24,42,338935.8969390353,428088.8171841519,39.976022778172776,38.6883251374621,183260035398.12625,3.57469980372116e-05,0.0040988999899127,0,0.0
timesfm,ecl,aggregate_load,24,42,259345.2837112308,307450.4264098129,31.27458409200004,29.60334018822507,94525764699.57578,0.0,102.2329104001983,200000000,895.5625
xgboost,ecl,aggregate_load,24,42,31621.809543104155,46891.40392981531,3.806341948498156,3.712203898359735,2198803762.5090985,15.755054543999904,20.250332199975677,1350021,0.0
xgboost,ecl,aggregate_load,24,43,31796.929597171893,47223.91810292259,3.821209177341746,3.732761904267179,2230098440.99154,15.82265981799992,18.42412159994637,1347674,0.0
xgboost,ecl,aggregate_load,24,44,31787.83934578316,47195.60501361979,3.816415859064688,3.7316947652536343,2227425132.601613,15.237062731000153,21.792355999969004,1348694,0.0
xgboost,ecl,aggregate_load,24,45,31767.970533138745,47057.4276714007,3.8196761512152246,3.729362290141676,2214401499.0491085,15.475499437000051,19.107206400076397,1350016,0.0
xgboost,ecl,aggregate_load,24,46,31715.79605330653,47011.316258628096,3.809948143987184,3.723237330494316,2210063856.36875,15.748047483999926,20.194640000045183,1344295,0.0
chronos_bolt_small,ecl,aggregate_load,96,42,262601.941048845,314012.89087782614,31.68425688559925,30.032044396628343,98604095637.44954,0.0,39.639701200212585,47718016,345.78271484375
dlinear,ecl,aggregate_load,96,42,39157.04321329917,64661.246598997466,4.367219624133956,4.586245267369983,4181076811.7363615,45.013920365999866,57.103089500003534,64704,29.83740234375
dlinear,ecl,aggregate_load,96,43,39393.55545389443,64795.82911493928,4.4008662032986745,4.613946622096804,4198499470.692412,34.77613109499998,59.6450773000015,64704,29.83740234375
dlinear,ecl,aggregate_load,96,44,38941.11235125964,64497.01109396053,4.309945012794407,4.56095449429722,4159864440.054468,48.49266104100002,69.26162860000886,64704,29.83740234375
dlinear,ecl,aggregate_load,96,45,39270.54391975528,64811.77513422685,4.384765374228876,4.5995389697313165,4200566196.049586,39.85281155500002,60.552425599996695,64704,29.83740234375
dlinear,ecl,aggregate_load,96,46,39030.800602086994,64657.1740263192,4.350509447979769,4.571459177034754,4180550153.0697274,38.25725028900024,58.99155099999689,64704,29.83740234375
itransformer,ecl,aggregate_load,96,42,37471.01766539991,60775.365816768775,4.225220468661379,4.388770533447999,3693645090.1620665,88.35124728999926,64.4126546500047,320736,165.025390625
itransformer,ecl,aggregate_load,96,43,37610.47085191372,60660.4758761456,4.263109436922089,4.405103904514469,3679693333.520443,65.30507907499941,57.55539060000956,320736,165.025390625
